,xg,npxg,xg_assist,sca,passes_pct,progressive_passes,saves,tackles,interceptions,y
0,0.23000000000000004,0.23000000000000004,0.13999999999999999,2.9,89.1,5.0,66.7,2.0,1.3636363636363635,0.9
1,0.09,0.09,0.08,1.5,83.0,3.7,80.0,2.090909090909091,1.2727272727272727,0.1
2,0.42000000000000004,0.33999999999999997,0.31999999999999995,4.1,90.5,5.0,50.0,1.4545454545454546,1.1818181818181819,1.2
3,0.13999999999999999,0.13999999999999999,0.12999999999999998,1.5,87.5,2.7,66.7,2.0,2.272727272727273,0.1
4,0.06999999999999999,0.06999999999999999,0.11000000000000001,3.4,89.7,3.1,55.6,1.1818181818181819,0.8181818181818182,0.8
5,0.09,0.09,0.08,2.9,90.7,3.4,81.8,1.8181818181818181,1.6363636363636365,0.6
6,0.030000000000000006,0.030000000000000006,0.01,1.2,88.6,4.1,80.0,1.6363636363636365,1.3636363636363635,0.1
7,0.3,0.3,0.12999999999999998,2.9,83.7,3.3,87.5,1.8181818181818181,0.9090909090909091,0.3
8,0.039999999999999994,0.039999999999999994,0.12,1.6,88.0,2.7,50.0,1.6363636363636365,0.8181818181818182,1.0
9,0.010000000000000004,0.010000000000000004,0.01,0.9,90.0,4.8,80.0,1.3636363636363635,1.4545454545454546,0.3
10,0.24,0.15999999999999998,0.13,3.9,86.0,2.5,66.7,1.5454545454545454,0.7272727272727273,0.1
11,0.18,0.18,0.19,2.1,83.3,3.3,60.0,1.5454545454545454,1.5454545454545454,2.0
12,0.039999999999999994,0.039999999999999994,0.02,0.9,89.4,2.8,50.0,2.4545454545454546,0.8181818181818182,0.2
13,0.21000000000000002,0.21000000000000002,0.11000000000000001,2.3,84.1,3.0,66.7,1.1818181818181819,1.2727272727272727,0.3
14,0.06999999999999999,0.06999999999999999,0.030000000000000006,2.2,89.5,1.8,71.4,1.4545454545454546,1.0909090909090908,0.3
15,0.2,0.2,0.13000000000000003,2.2,85.3,2.5,55.6,1.8181818181818181,1.9090909090909092,1.4
16,0.12,0.12,0.06,2.5,85.0,1.1,66.7,1.3636363636363635,0.9090909090909091,0.1
17,0.22000000000000003,0.22000000000000003,0.18,1.5,87.4,2.4,44.4,1.4545454545454546,1.4545454545454546,1.5
18,0.09,0.09,0.1,0.9,85.2,2.4,50.0,2.0,1.5454545454545454,0.5
19,0.05,0.05,0.08,1.3,89.0,2.0,75.0,1.4545454545454546,0.7272727272727273,1.0
20,0.07,0.07,0.1,1.0,84.4,1.8,50.0,1.7272727272727273,1.1818181818181819,0.4
21,0.18,0.18,0.09,2.0,87.0,3.6,57.1,2.0,1.2727272727272727,0.1
22,0.12000000000000002,0.12000000000000002,0.12,1.8,85.4,3.1,66.7,1.7272727272727273,1.0909090909090908,1.0
23,0.05,0.05,0.08,2.9,89.0,3.5,87.5,1.9090909090909092,2.0,1.5
24,0.06,0.06,0.019999999999999997,1.5,87.0,2.7,100.0,1.2727272727272727,1.0,0.1
25,0.15,0.15000000000000002,0.06000000000000001,2.4,89.1,4.4,100.0,2.8181818181818183,1.9090909090909092,2.2
26,0.15,0.15,0.09000000000000001,2.6,86.5,2.7,100.0,1.0,1.3636363636363635,0.6
27,0.09,0.09,0.07999999999999999,2.4,83.3,3.4,50.0,1.4545454545454546,1.3636363636363635,0.9
28,0.020000000000000007,0.020000000000000007,0.05,1.2,83.1,2.3,75.0,1.7272727272727273,0.9090909090909091,0.9
29,0.12999999999999998,0.13,0.06999999999999999,1.8,88.7,3.6,66.7,2.090909090909091,1.3636363636363635,1.1
30,0.25,0.25,0.20999999999999996,2.3,86.4,1.9,80.0,1.4545454545454546,1.4545454545454546,1.8
31,0.22000000000000003,0.22000000000000003,0.15,1.9,85.5,2.1,55.6,1.7272727272727273,1.9090909090909092,0.8
32,0.04,0.04,0.06999999999999999,1.5,86.3,3.3,33.3,1.9090909090909092,1.7272727272727273,0.9
33,0.26999999999999996,0.26999999999999996,0.25,2.1,89.3,3.4,55.6,1.4545454545454546,1.0,0.1
34,0.18,0.18,0.08,2.5,90.0,6.2,80.0,2.8181818181818183,1.6363636363636365,0.8
35,0.1,0.1,0.05,0.6,90.5,1.7,66.7,1.3636363636363635,0.8181818181818182,0.1
36,0.09,0.09,0.11000000000000001,1.6,90.8,2.3,50.0,1.5454545454545454,0.8181818181818182,0.5
37,0.09000000000000001,0.09000000000000001,0.06999999999999999,1.6,81.4,1.9,50.0,1.2727272727272727,1.0,0.2
38,0.24,0.15999999999999998,0.15,2.4,87.5,4.5,83.3,1.8181818181818181,1.3636363636363635,0.1
