,xg,npxg,xg_assist,sca,passes_pct,progressive_passes,saves,tackles,interceptions,y
0,0.04,0.04,0.03,2.0,81.8,1.7,100.0,1.6363636363636365,0.8181818181818182,0.5
1,0.09,0.09,0.09,1.1,80.6,2.8,100.0,1.5454545454545454,1.6363636363636365,0.9
2,0.2,0.2,0.12,2.5,85.7,2.1,71.4,2.1818181818181817,1.5454545454545454,0.1
3,0.24,0.24,0.12000000000000002,1.9,74.9,1.3,71.4,1.8181818181818181,0.7272727272727273,0.1
4,0.039999999999999994,0.039999999999999994,0.009999999999999998,1.2,84.2,1.9,100.0,2.1818181818181817,0.5454545454545454,0.2
5,0.26,0.26,0.11000000000000001,2.0,77.8,1.3,66.7,1.1818181818181819,0.5454545454545454,0.0
6,0.19999999999999998,0.19999999999999998,0.14,2.5,78.6,1.7,80.0,0.6363636363636364,0.45454545454545453,0.8
7,0.07,0.07,0.039999999999999994,0.9,82.1,2.0,83.3,1.9090909090909092,0.5454545454545454,0.1
8,0.09000000000000001,0.09000000000000001,0.05,1.2,84.2,2.0,75.0,1.6363636363636365,1.1818181818181819,0.2
9,0.38,0.38,0.12,1.9,91.0,3.1,76.9,1.4545454545454546,1.1818181818181819,1.3
10,0.25,0.25,0.08,2.6,79.5,1.5,57.1,1.8181818181818181,0.5454545454545454,0.7
11,0.21000000000000002,0.21000000000000002,0.040000000000000015,1.1,83.2,1.9,66.7,1.9090909090909092,0.7272727272727273,0.3
12,0.05,0.05,0.030000000000000006,0.7,78.8,1.6,50.0,2.0,0.5454545454545454,0.0
13,0.12999999999999998,0.12,0.11000000000000001,2.0,82.9,2.4,100.0,1.6363636363636365,1.2727272727272727,1.0
14,0.019999999999999997,0.019999999999999997,0.02,0.7,82.9,1.5,0.0,1.6363636363636365,1.1818181818181819,0.1
15,0.25,0.25,0.15,3.1,90.8,3.2,81.8,1.5454545454545454,0.6363636363636364,1.2
16,0.12999999999999998,0.12999999999999998,0.04,1.5,87.1,1.7,60.0,1.0,0.7272727272727273,0.4
17,0.09,0.09000000000000001,0.05,2.1,81.9,2.7,80.0,1.6363636363636365,1.3636363636363635,1.0
