player,nationality,position,team,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_assist,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,minutes_90s,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Patrick van Aanholt,0,DF,nl Netherlands,30,1990,4.0,4.0,297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2,0.13,0.07,0.19,0.13,0.19,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,-0.4,-0.4,140.0,181.0,77.3,2206.0,711.0,73.0,92.0,79.3,54.0,64.0,84.4,9.0,15.0,60.0,-0.2,3.0,7.0,2.0,0.0,8.0,158.0,23.0,0.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,5.0,6.0,1.82,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,2.0,0.0,202.0,7.0,46.0,78.0,79.0,9.0,202.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,3.0,2.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,23.0,2.0,1.0,66.7
Francesco Acerbi,0,DF,it Italy,32,1988,3.0,1.0,232.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.39,0.39,0.0,0.39,0.0,0.0,0.4,0.02,0.18,0.2,0.02,0.2,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,170.0,183.0,92.9,3009.0,911.0,79.0,80.0,98.8,69.0,73.0,94.5,19.0,25.0,76.0,0.6,3.0,16.0,0.0,0.0,9.0,171.0,11.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,9.0,4.01,9.0,0.0,0.0,0.0,0.0,1.0,0.45,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,6.0,7.0,0.0,201.0,20.0,81.0,112.0,8.0,2.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,11.0,6.0,4.0,60.0
Che Adams,0,FW,sct Scotland,24,1996,3.0,2.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.7,0.19,0.29,0.48,0.19,0.48,2.4,0.0,1.0,0.0,14.3,0.0,0.42,0.0,0.0,0.06,-0.4,-0.4,42.0,51.0,82.4,696.0,94.0,22.0,22.0,100.0,14.0,20.0,70.0,5.0,6.0,83.3,-0.7,2.0,2.0,3.0,1.0,4.0,49.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.69,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,68.0,1.0,4.0,25.0,41.0,12.0,68.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,4.0,2.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,6.0,2.0,8.0,20.0
Arijan Ademi,0,MF,mk N. Macedonia,29,1991,3.0,3.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.03,0.02,0.05,0.03,0.05,2.8,0.0,1.0,0.0,100.0,0.0,0.36,0.0,0.0,0.08,-0.1,-0.1,85.0,99.0,85.9,1328.0,418.0,51.0,58.0,87.9,30.0,33.0,90.9,4.0,5.0,80.0,0.0,1.0,5.0,0.0,0.0,8.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.07,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,4.0,3.0,1.0,7.0,11.0,63.6,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,7.0,0.0,0.0,124.0,8.0,45.0,67.0,13.0,3.0,124.0,2.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,5.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,16.0,2.0,1.0,66.7
Manuel Akanji,0,DF,ch Switzerland,25,1995,5.0,5.0,510.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.08,0.01,0.08,0.08,0.08,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,-0.4,-0.4,264.0,288.0,91.7,5061.0,2198.0,85.0,91.0,93.4,154.0,157.0,98.1,23.0,33.0,69.7,0.0,1.0,15.0,1.0,0.0,20.0,275.0,12.0,11.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,8.0,1.6,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,8.0,2.0,0.0,7.0,11.0,63.6,4.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,5.0,8.0,22.0,0.0,349.0,40.0,184.0,157.0,12.0,5.0,349.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,0.0,1.0,1.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,28.0,9.0,5.0,64.3
Nathan Aké,0,DF,nl Netherlands,25,1995,2.0,0.0,54.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.67,1.67,0.0,1.67,0.0,0.0,0.0,0.05,0.08,0.13,0.05,0.13,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,31.0,34.0,91.2,547.0,78.0,14.0,17.0,82.4,13.0,13.0,100.0,3.0,3.0,100.0,1.0,1.0,1.0,1.0,1.0,0.0,33.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.67,1.0,0.0,0.0,0.0,0.0,1.0,1.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,39.0,2.0,7.0,24.0,8.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,100.0
David Alaba,0,DF,at Austria,28,1992,4.0,4.0,390.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.46,0.46,0.0,0.46,0.1,0.1,1.4,0.03,0.34,0.37,0.03,0.37,4.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.06,-0.1,-0.1,282.0,348.0,81.0,5356.0,2203.0,112.0,129.0,86.8,134.0,149.0,89.9,32.0,55.0,58.2,0.6,10.0,20.0,3.0,3.0,19.0,293.0,54.0,10.0,0.0,0.0,1.0,28.0,17.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,1.0,0.0,0.0,9.0,14.0,3.5,7.0,7.0,0.0,0.0,0.0,2.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,6.0,4.0,4.0,2.0,0.0,1.0,4.0,25.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,1.0,367.0,20.0,126.0,164.0,79.0,3.0,367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.0,0.0,5.0,2.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,33.0,2.0,2.0,50.0
Jordi Alba,0,DF,es Spain,31,1989,6.0,5.0,554.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.16,0.16,0.0,0.16,0.1,0.1,2.4,0.01,0.46,0.47,0.01,0.47,6.2,0.0,1.0,0.0,50.0,0.0,0.16,0.0,0.0,0.03,-0.1,-0.1,515.0,602.0,85.5,7248.0,2098.0,320.0,345.0,92.8,146.0,179.0,81.6,29.0,37.0,78.4,-1.4,12.0,30.0,16.0,4.0,30.0,525.0,76.0,19.0,2.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,1.0,0.0,0.0,8.0,21.0,4.07,20.0,0.0,0.0,1.0,0.0,1.0,0.19,1.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,3.0,7.0,0.0,7.0,7.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,4.0,9.0,1.0,627.0,13.0,107.0,316.0,211.0,9.0,627.0,2.0,5.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452.0,0.0,1.0,2.0,0.0,6.0,5.0,1.0,0.0,0.0,0.0,45.0,2.0,4.0,33.3
Thiago Alcántara,0,"MF,DF",es Spain,29,1991,4.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.17,0.13,0.3,0.17,0.3,0.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04,-0.1,-0.1,72.0,90.0,80.0,1366.0,226.0,31.0,37.0,83.8,31.0,34.0,91.2,8.0,15.0,53.3,-0.1,1.0,4.0,0.0,0.0,5.0,86.0,4.0,3.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.87,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,0.0,2.0,4.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,100.0,0.0,8.0,66.0,26.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,75.0
Toby Alderweireld,0,DF,be Belgium,31,1989,4.0,4.0,360.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.03,0.0,0.03,0.03,0.03,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,-0.1,-0.1,271.0,309.0,87.7,5090.0,1411.0,104.0,110.0,94.5,136.0,145.0,93.8,29.0,44.0,65.9,0.0,0.0,23.0,2.0,0.0,14.0,291.0,16.0,13.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,4.0,3.0,0.75,3.0,0.0,0.0,0.0,0.0,2.0,0.5,2.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,2.0,0.0,2.0,3.0,66.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,2.0,2.0,10.0,0.0,337.0,31.0,124.0,201.0,12.0,2.0,337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,12.0,5.0,8.0,38.5
