,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
af Afghanistan,25,28.7,,8,88,720,8.0,5,5,5,0,1,10,0,0.62,0.62,1.25,0.62,1.25
au Australia,48,28.6,,19,209,1710,19.0,45,28,43,2,3,19,0,2.37,1.47,3.84,2.26,3.74
bh Bahrain,30,29.5,,8,88,720,8.0,14,5,11,3,3,8,0,1.75,0.62,2.37,1.37,2.00
bd Bangladesh,32,25.5,,10,110,900,10.0,4,4,4,0,0,23,0,0.40,0.40,0.80,0.40,0.80
bt Bhutan,16,27.4,,2,22,180,2.0,1,1,1,0,0,2,0,0.50,0.50,1.00,0.50,1.00
bn Brunei,14,28.8,,2,22,180,2.0,2,0,2,0,0,4,0,1.00,0.00,1.00,1.00,1.00
kh Cambodia,25,26.5,,10,110,900,10.0,6,5,6,0,1,14,1,0.60,0.50,1.10,0.60,1.10
cn China PR,41,30.4,,18,198,1620,18.0,39,26,32,7,7,24,0,2.17,1.44,3.61,1.78,3.22
tw Chinese Taipei,33,28.4,,8,88,720,8.0,4,4,4,0,0,8,0,0.50,0.50,1.00,0.50,1.00
gu Guam,31,28.9,,10,110,900,10.0,7,3,6,1,1,19,1,0.70,0.30,1.00,0.60,0.90
hk Hong Kong,30,31.7,,8,88,720,8.0,4,2,4,0,0,16,0,0.50,0.25,0.75,0.50,0.75
in India,34,28.1,,8,88,720,8.0,5,5,5,0,0,11,1,0.62,0.62,1.25,0.62,1.25
id Indonesia,55,27.8,,8,88,720,8.0,5,4,5,0,2,13,0,0.62,0.50,1.13,0.62,1.13
ir IR Iran,40,28.6,,18,198,1620,18.0,47,33,44,3,5,32,2,2.61,1.83,4.44,2.44,4.28
iq Iraq,51,26.2,,18,198,1620,18.0,18,13,15,3,4,35,0,1.00,0.72,1.72,0.83,1.56
