,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
dz Algeria,33,29.3,,8,88,750,8.3,25,17,22,3,4,12,0,3.00,2.04,5.04,2.64,4.68
ao Angola,41,27.5,,8,88,720,8.0,9,3,8,1,1,8,0,1.13,0.37,1.50,1.00,1.37
bj Benin,22,27.8,,6,66,540,6.0,5,4,5,0,0,11,0,0.83,0.67,1.50,0.83,1.50
bf Burkina Faso,26,26.4,,6,66,540,6.0,12,8,9,3,3,10,0,2.00,1.33,3.33,1.50,2.83
bi Burundi,15,27.0,,2,11,210,2.3,1,1,1,0,0,3,0,0.43,0.43,0.86,0.43,0.86
cm Cameroon,31,27.4,,8,88,750,8.3,14,7,12,2,2,11,0,1.68,0.84,2.52,1.44,2.28
cv Cape Verde,26,29.3,,6,66,540,6.0,8,6,8,0,0,4,0,1.33,1.00,2.33,1.33,2.33
cf CAR,25,25.0,,6,66,540,6.0,4,2,4,0,1,14,0,0.67,0.33,1.00,0.67,1.00
km Comoros,14,29.9,,2,11,180,2.0,1,0,1,0,0,1,0,0.50,0.00,0.50,0.50,0.50
cg Congo,30,24.9,,6,66,540,6.0,3,2,2,1,1,10,0,0.50,0.33,0.83,0.33,0.67
cd Congo DR,30,27.8,,8,88,720,8.0,11,9,9,2,2,16,1,1.37,1.13,2.50,1.13,2.25
ci Côte d'Ivoire,27,27.6,,6,66,540,6.0,10,6,8,2,2,8,0,1.67,1.00,2.67,1.33,2.33
dj Djibouti,32,26.1,,8,88,720,8.0,6,2,5,1,2,15,2,0.75,0.25,1.00,0.62,0.87
eg Egypt,38,28.5,,8,88,750,8.3,9,6,7,2,2,19,1,1.08,0.72,1.80,0.84,1.56
gq Equ. Guinea,28,25.0,,8,66,720,8.0,6,3,5,1,1,12,0,0.75,0.37,1.13,0.62,1.00
er Eritrea,14,25.8,,2,22,180,2.0,1,1,1,0,0,0,0,0.50,0.50,1.00,0.50,1.00
sz Eswatini,18,29.3,,2,22,180,2.0,1,1,1,0,0,4,0,0.50,0.50,1.00,0.50,1.00
et Ethiopia,28,25.5,,8,66,720,8.0,4,2,3,1,1,6,0,0.50,0.25,0.75,0.37,0.62
ga Gabon,24,28.5,,6,66,540,6.0,7,4,6,1,1,10,1,1.17,0.67,1.83,1.00,1.67
gm Gambia,17,28.6,,2,22,180,2.0,1,1,1,0,0,5,0,0.50,0.50,1.00,0.50,1.00
gh Ghana,36,26.8,,8,88,720,8.0,8,4,7,1,1,13,0,1.00,0.50,1.50,0.87,1.37
gn Guinea,29,26.3,,6,66,540,6.0,5,4,5,0,0,14,0,0.83,0.67,1.50,0.83,1.50
gw Guinea-Bissau,25,27.5,,8,66,720,8.0,5,5,5,0,0,5,0,0.62,0.62,1.25,0.62,1.25
ke Kenya,32,25.9,,6,66,540,6.0,4,2,3,1,1,7,0,0.67,0.33,1.00,0.50,0.83
lr Liberia,26,24.8,,8,66,720,8.0,5,3,5,0,0,15,0,0.62,0.37,1.00,0.62,1.00
ly Libya,28,28.6,,6,66,540,6.0,4,3,3,1,1,9,0,0.67,0.50,1.17,0.50,1.00
mg Madagascar,25,29.6,,6,66,540,6.0,4,2,4,0,0,9,1,0.67,0.33,1.00,0.67,1.00
mw Malawi,24,26.4,,8,66,720,8.0,2,1,2,0,0,10,1,0.25,0.12,0.37,0.25,0.37
ml Mali,33,26.4,,8,88,720,8.0,10,7,9,1,2,10,1,1.25,0.87,2.12,1.13,2.00
mr Mauritania,33,26.3,,6,66,540,6.0,2,2,2,0,0,11,0,0.33,0.33,0.67,0.33,0.67
ma Morocco,29,26.5,,8,88,720,8.0,24,12,22,2,3,12,0,3.00,1.50,4.50,2.75,4.25
mz Mozambique,34,26.5,,8,66,720,8.0,1,0,1,0,0,7,1,0.12,0.00,0.12,0.12,0.12
na Namibia,32,29.6,,8,88,720,8.0,8,5,8,0,1,13,0,1.00,0.62,1.62,1.00,1.62
ne Niger,26,27.8,,6,66,540,6.0,13,9,11,2,2,13,1,2.17,1.50,3.67,1.83,3.33
ng Nigeria,33,26.1,,8,88,720,8.0,9,4,6,3,3,7,0,1.13,0.50,1.62,0.75,1.25
rw Rwanda,36,27.2,,8,88,720,8.0,12,8,12,0,0,10,1,1.50,1.00,2.50,1.50,2.50
sn Senegal,28,28.5,,8,88,750,8.3,16,13,15,1,1,9,0,1.92,1.56,3.48,1.80,3.36
sc Seychelles,18,27.8,,2,22,180,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
so Somalia,14,25.4,,2,11,180,2.0,1,0,1,0,0,3,0,0.50,0.00,0.50,0.50,0.50
za South Africa,26,26.6,,6,66,540,6.0,5,3,5,0,0,14,0,0.83,0.50,1.33,0.83,1.33
sd Sudan,27,28.8,,8,66,720,8.0,5,4,5,0,0,14,0,0.62,0.50,1.13,0.62,1.13
tz Tanzania,35,26.6,,8,77,750,8.3,6,3,5,1,1,14,0,0.72,0.36,1.08,0.60,0.96
tg Togo,34,27.7,,8,77,720,8.0,5,5,5,0,0,15,0,0.62,0.62,1.25,0.62,1.25
tn Tunisia,29,28.1,,8,88,720,8.0,11,6,9,2,3,15,0,1.37,0.75,2.12,1.13,1.87
ug Uganda,30,25.9,,6,66,540,6.0,3,0,3,0,0,12,1,0.50,0.00,0.50,0.50,0.50
zm Zambia,29,26.1,,6,66,540,6.0,8,5,7,1,2,12,1,1.33,0.83,2.17,1.17,2.00
zw Zimbabwe,39,29.6,,8,77,720,8.0,5,2,4,1,1,12,0,0.62,0.25,0.87,0.50,0.75
