,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
ar Argentina,38,28.5,59.4,17,187,1620,18.0,27,17,25,2,2,30,0,1.50,0.94,2.44,1.39,2.33
bo Bolivia,53,28.4,42.6,18,198,1620,18.0,23,13,21,2,3,44,4,1.28,0.72,2.00,1.17,1.89
br Brazil,42,28.1,59.9,17,187,1620,18.0,39,21,33,6,6,35,1,2.17,1.17,3.33,1.83,3.00
cl Chile,45,30.6,53.9,18,198,1620,18.0,18,10,17,1,1,52,2,1.00,0.56,1.56,0.94,1.50
co Colombia,42,29.3,53.2,18,198,1620,18.0,20,9,15,5,5,42,2,1.11,0.50,1.61,0.83,1.33
ec Ecuador,49,26.3,51.6,18,198,1620,18.0,27,18,24,3,4,40,3,1.50,1.00,2.50,1.33,2.33
py Paraguay,48,28.3,46.4,18,198,1620,18.0,11,9,9,2,3,53,4,0.61,0.50,1.11,0.50,1.00
pe Peru,34,29.9,45.3,18,198,1620,18.0,19,7,19,0,1,41,3,1.06,0.39,1.44,1.06,1.44
uy Uruguay,39,28.2,46.6,18,198,1620,18.0,22,7,16,6,6,29,1,1.22,0.39,1.61,0.89,1.28
ve Venezuela,51,27.4,42.8,18,198,1620,18.0,14,6,13,1,3,46,2,0.78,0.33,1.11,0.72,1.06
