,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
al Albania,34,27.5,53.8,10,110,900,10.0,12,9,11,1,1,29,0,1.20,0.90,2.10,1.10,2.00
ad Andorra,29,28.6,26.6,10,110,900,10.0,8,7,7,1,1,30,1,0.80,0.70,1.50,0.70,1.40
am Armenia,31,29.4,44.7,10,110,900,10.0,8,5,5,3,3,19,0,0.80,0.50,1.30,0.50,1.00
at Austria,36,28.2,62.5,11,121,990,11.0,20,12,18,2,2,14,0,1.82,1.09,2.91,1.64,2.73
az Azerbaijan,28,27.6,41.9,8,88,720,8.0,5,1,4,1,1,16,1,0.62,0.12,0.75,0.50,0.62
by Belarus,41,28.0,38.0,8,88,720,8.0,7,4,5,2,2,17,0,0.87,0.50,1.37,0.62,1.13
be Belgium,35,29.1,70.5,8,88,720,8.0,25,22,24,1,1,12,0,3.12,2.75,5.87,3.00,5.75
ba Bosnia & Herz'na,27,28.0,52.0,8,88,720,8.0,9,6,8,1,2,14,0,1.13,0.75,1.87,1.00,1.75
bg Bulgaria,39,27.7,38.8,8,88,720,8.0,6,3,6,0,1,16,1,0.75,0.37,1.13,0.75,1.13
hr Croatia,33,28.3,66.3,10,110,900,10.0,20,13,19,1,2,16,0,2.00,1.30,3.30,1.90,3.20
cy Cyprus,32,27.0,35.7,10,110,900,10.0,4,4,4,0,0,17,1,0.40,0.40,0.80,0.40,0.80
cz Czech Republic,39,27.9,55.4,9,99,840,9.3,13,13,13,0,0,14,1,1.39,1.39,2.79,1.39,2.79
dk Denmark,36,28.0,62.1,10,110,900,10.0,30,22,28,2,2,10,0,3.00,2.20,5.20,2.80,5.00
eng England,34,26.4,73.3,10,110,900,10.0,38,30,34,4,5,13,0,3.80,3.00,6.80,3.40,6.40
ee Estonia,32,26.9,35.0,8,88,720,8.0,9,8,9,0,0,19,1,1.13,1.00,2.12,1.13,2.12
fo Faroe Islands,28,29.2,37.6,10,110,900,10.0,7,7,7,0,0,16,1,0.70,0.70,1.40,0.70,1.40
fi Finland,29,28.8,46.6,8,88,720,8.0,10,8,9,1,2,11,1,1.25,1.00,2.25,1.13,2.12
fr France,31,27.9,60.1,8,88,720,8.0,17,12,16,1,2,8,1,2.12,1.50,3.62,2.00,3.50
ge Georgia,31,28.1,40.8,8,88,720,8.0,6,3,6,0,0,21,1,0.75,0.37,1.13,0.75,1.13
de Germany,33,27.5,75.8,10,110,900,10.0,34,27,31,3,3,12,0,3.40,2.70,6.10,3.10,5.80
gi Gibraltar,29,28.8,26.6,10,110,900,10.0,4,2,2,2,2,22,1,0.40,0.20,0.60,0.20,0.40
gr Greece,27,27.4,47.0,8,88,720,8.0,7,3,5,2,2,22,1,0.87,0.37,1.25,0.62,1.00
hu Hungary,35,27.7,58.2,10,110,900,10.0,19,12,15,4,5,23,1,1.90,1.20,3.10,1.50,2.70
is Iceland,36,28.2,48.1,10,110,900,10.0,12,9,9,3,3,20,1,1.20,0.90,2.10,0.90,1.80
il Israel,31,29.1,51.8,10,110,900,10.0,23,14,22,1,1,17,0,2.30,1.40,3.70,2.20,3.60
it Italy,37,28.0,67.1,9,99,810,9.0,12,7,10,2,4,12,0,1.33,0.78,2.11,1.11,1.89
kz Kazakhstan,40,28.5,38.5,8,88,720,8.0,5,2,5,0,0,21,0,0.62,0.25,0.87,0.62,0.87
xk Kosovo,30,26.7,40.6,8,88,720,8.0,5,3,4,1,1,23,1,0.62,0.37,1.00,0.50,0.87
lv Latvia,26,27.1,36.6,10,110,900,10.0,10,8,9,1,1,23,0,1.00,0.80,1.80,0.90,1.70
li Liechtenstein,27,26.6,24.7,10,110,900,10.0,2,1,2,0,0,19,2,0.20,0.10,0.30,0.20,0.30
lt Lithuania,32,28.3,35.9,8,88,720,8.0,4,4,4,0,1,17,0,0.50,0.50,1.00,0.50,1.00
lu Luxembourg,25,26.7,47.5,8,88,720,8.0,8,5,7,1,1,18,2,1.00,0.62,1.62,0.87,1.50
mt Malta,28,27.4,44.1,10,110,900,10.0,8,6,8,0,0,23,2,0.80,0.60,1.40,0.80,1.40
md Moldova,40,29.3,36.8,10,110,900,10.0,5,2,5,0,1,26,2,0.50,0.20,0.70,0.50,0.70
me Montenegro,32,29.0,47.8,10,110,900,10.0,14,10,13,1,1,24,1,1.40,1.00,2.40,1.30,2.30
mk N. Macedonia,30,27.6,51.4,12,132,1080,12.0,24,16,20,4,4,27,0,2.00,1.33,3.33,1.67,3.00
nl Netherlands,34,27.5,72.6,10,110,900,10.0,33,25,29,4,6,13,0,3.30,2.50,5.80,2.90,5.40
nir Northern Ireland,28,28.7,44.6,8,88,720,8.0,5,3,3,2,2,18,1,0.62,0.37,1.00,0.37,0.75
no Norway,34,26.2,58.5,10,110,900,10.0,15,11,14,1,1,17,1,1.50,1.10,2.60,1.40,2.50
pl Poland,39,27.9,61.1,11,121,990,11.0,31,27,30,1,1,24,0,2.82,2.45,5.27,2.73,5.18
pt Portugal,34,28.9,59.2,10,110,900,10.0,21,17,19,2,3,21,1,2.10,1.70,3.80,1.90,3.60
ie Rep. of Ireland,28,27.2,47.3,8,88,720,8.0,10,7,10,0,0,19,0,1.25,0.87,2.12,1.25,2.12
ro Romania,38,27.7,52.3,10,110,900,10.0,13,11,13,0,1,19,1,1.30,1.10,2.40,1.30,2.40
